8.96E-05,0.483,237556,0.743,0.00208,6,0.11,-10.563,0,0.097,132.01,4,0.102,22
0.0458,0.376,245710,0.616,3.55E-06,1,0.502,-12.556,0,0.045,131.996,4,0.122,25
9.97E-05,0.165,216960,0.839,0.903,4,0.201,-11.006,1,0.0344,128.076,4,0.326,25
0.0226,0.361,117170,0.551,0.92,3,0.613,-12.575,1,0.0382,135.063,4,0.446,22
0.000128,0.368,202570,0.644,0.0654,10,0.195,-10.883,1,0.0368,127.808,4,0.0694,23
0.00185,0.274,191780,0.404,0.00319,0,0.232,-11.174,1,0.0354,127.805,4,0.22,22
0.039,0.775,144000,0.685,0,5,0.0725,-7.552,1,0.369,140.142,4,0.949,42
0.112,0.516,31720,0.685,0,6,0.369,-10.207,0,0.241,91.191,3,0.821,17
0.116,0.592,35060,0.676,0,6,0.552,-10.949,0,0.365,64.037,3,0.725,17
0.0306,0.489,50700,0.599,0,11,0.328,-10.637,0,0.27,135.446,5,0.599,17
0.0879,0.527,35990,0.757,0,4,0.454,-10.241,0,0.298,67.019,3,0.953,17
0.151,0.538,49120,0.858,0,8,0.144,-11.037,1,0.16,132.088,4,0.703,17
0.000195,0.471,191930,0.888,0.893,1,0.688,-11.833,1,0.0519,130.074,4,0.304,21
0.00412,0.448,195750,0.738,0.911,11,0.269,-11.676,1,0.0773,130.058,4,0.109,19
0.169,0.832,133349,0.457,2.94E-05,1,0.133,-10.623,1,0.172,130.026,4,0.227,37
0.000295,0.269,251700,0.566,0.0707,4,0.502,-11.096,0,0.0429,131.863,4,0.0587,21
0.18,0.453,41565,0.507,0,7,0.836,-12.69,1,0.303,111.266,4,0.536,18
0.00172,0.239,107120,0.657,0.971,6,0.126,-11.322,1,0.0754,129.747,4,0.146,18
0.00564,0.299,227240,0.641,0.000987,0,0.705,-11.93,0,0.0519,132.014,4,0.126,37
0.242,0.551,34900,0.551,0,1,0.716,-10.971,1,0.81,172.205,5,0.759,16
0.00019,0.395,298810,0.859,0.384,1,0.733,-11.906,1,0.095,131.682,4,0.251,18
0.00017,0.454,252150,0.966,0.715,0,0.477,-11.679,0,0.24,137.035,4,0.0536,20
0.0025,0.651,137179,0.857,0.493,1,0.115,-7.672,0,0.0609,169.97,5,0.139,37
0.0198,0.46,31224,0.662,0,2,0.299,-10.579,1,0.333,132.468,4,0.706,18
0.236,0.657,31110,0.471,0,9,0.862,-10.784,1,0.404,77.584,3,0.867,16
0.00776,0.433,176070,0.787,0.883,8,0.39,-11.765,1,0.0378,133.515,4,0.214,18
0.000977,0.499,243540,0.722,0.515,7,0.331,-11.55,1,0.0429,136.174,4,0.0844,21
0.00276,0.291,31315,0.905,0,2,0.369,-10.378,1,0.165,134.223,1,0.341,19
0.276,0.668,33780,0.462,0,9,0.666,-10.292,1,0.38,89.691,5,0.907,15
0.115,0.538,48750,0.795,0,11,0.855,-10.377,0,0.0933,100.567,4,0.721,15
0.305,0.76,36520,0.462,0,11,0.409,-11.029,0,0.422,88.645,5,0.918,15
0.000108,0.408,268410,0.979,0.981,1,0.55,-11.928,1,0.0673,135.993,4,0.116,19
9.14E-06,0.246,147280,0.802,0.905,7,0.536,-10.609,1,0.0431,135.974,4,0.152,18
0.0577,0.555,38230,0.547,0,9,0.66,-11.486,0,0.341,64.775,4,0.646,15
0.0478,0.427,33240,0.659,0,7,0.348,-10.572,1,0.202,134.254,4,0.698,15
7.84E-05,0.428,224650,0.975,0.48,6,0.708,-10.791,1,0.131,138.026,4,0.0398,20
0.0769,0.486,34920,0.805,0,8,0.256,-10.663,1,0.249,131.339,1,0.391,15
0.192,0.602,34150,0.49,0,11,0.894,-11.624,1,0.438,68.184,4,0.575,15
1.70E-05,0.365,158780,0.881,0.966,4,0.428,-12.329,0,0.0455,137.986,4,0.12,16
1.26E-05,0.418,235450,0.86,0.465,6,0.224,-11.502,0,0.0735,137.866,4,0.206,18
0.207,0.599,32200,0.529,0,11,0.848,-11.018,0,0.325,133.665,4,0.585,14
0.205,0.564,36370,0.473,0,1,0.358,-11.533,0,0.324,119.102,3,0.309,14
0.00294,0.387,137390,0.989,0.959,1,0.684,-11.694,1,0.0813,138.074,4,0.33,20
1.89E-05,0.456,192000,0.948,0.457,7,0.288,-11.608,1,0.0953,138.004,4,0.081,19
